wallet,page,address,balance,transactions,last_used_in_block
Poloniex.com,1,1AJyDMWR16nGu8TbNeu8weTBapN9htKK6v,0.40490872,836,646220
Poloniex.com,1,1Nmcvt7Py9bZvaHkp3kHapZuo6ASBLT76h,0.40489644,456,653115
Poloniex.com,1,19949Grp1tV95xvBMuWDVwYBdyQyqvJdXi,0.40486397,393,520948
Poloniex.com,1,16jvpmuJG1GeSyRevAnSKoQepyRvJVHzRu,0.40268855,286,545294
Poloniex.com,1,13Cdo1tgqyEnTyDgfh8WcXmEJHqu4vwJYK,0.4022038,350,667551
Poloniex.com,1,17Z5otmYeNH6eMCpGsBM8vLvWPKPXJM6T2,0.40188178,549,668592
Poloniex.com,1,1DZ2ve1AWVoRtxDhLGqxFhb2baD2xUhPUG,0.3967703,515,668592
Poloniex.com,1,1Jx2uyqBP9BEgzKra69nJEBheXV4kpnTrG,0.38759081,346,518921
Poloniex.com,1,1KEFNd4yZd3FoGs1AGmcsGTQbDqFauuVLr,0.38306782,564,626030
Poloniex.com,1,197DFH2nfZ5N74zidMWqaVgzdFHCsFwwvZ,0.37658805,771,667258
Poloniex.com,1,1H1iPUCmnNJnyZPoiTwnmMD1z5rpXp91ka,0.3714129,357,665815
Poloniex.com,1,1PfsKdbnaqseHbqk32bdbRh34nj9vTsAKG,0.36724337,337,626496
Poloniex.com,1,1WqY1XUVuq8zzaov6Se942X4gSww5iqVj,0.36673227,518,668581
Poloniex.com,1,1NseQbFpp99xVr5Dy5qU97UfzU47o3eS4j,0.36563316,1229,658484
Poloniex.com,1,1GWqWd644VtZSMvkcAa4Y6vqqv22BzJvWN,0.36417957,469,634716
Poloniex.com,1,1uyGMo9gNddswsuV8tNpF5vGf6ctqTRAD,0.36348585,392,653902
Poloniex.com,1,1QKpZFCaGfBrFcaTgKdjWd7M73TVaAqbtS,0.36052939,320,657613
Poloniex.com,1,1EYBoJ6cAuHf3Vtr9Q1i5HnWLnH5c7vdUU,0.35538316,337,667551
Poloniex.com,1,18oDQxMECxEbJhzqCyoX9wL1xKMnx9gzys,0.35509061,361,661989
Poloniex.com,1,1Po1oXMCWobE6kxWr8rJEP1SRq71JSD3t4,0.3544728,9585,381034
Poloniex.com,1,16TdGqGfUH9kfpBXB8KkGdErFpTRkfCmwK,0.35104296,387,661755
Poloniex.com,1,16fivCRYMXRyj6Z4bgb42uN7F9qKGR9Fi7,0.35015078,426,618875
Poloniex.com,1,12gUQdeSAh7pFmVyhKQaSnsPw4AeBBhWWx,0.34819154,599,663313
Poloniex.com,1,1SCL4eNgbTevdS49X1NZcUPpqMRHCJaYK,0.34597521,441,666271
Poloniex.com,1,1P7SdEPtwSfiaofoZgHEGoAF9uRPnWcV3P,0.34403685,231,592109
Poloniex.com,1,1FB5prHcbSFV3u5NH4VP8ftwaEjd7Rymi2,0.34271559,419,605536
Poloniex.com,1,1C1jXYwPXey2vy1dZoDBux3N9AGoz4FCNc,0.34118521,781,666845
Poloniex.com,1,15hNMqJtZGUsSf6yHmUvEWR67HwtEfDBNT,0.34108971,249,601994
Poloniex.com,1,17SfvCdiqJUwEntPJgtF9NaKu9aujuYV39,0.34072152,316,618875
Poloniex.com,1,1PCRa3we3LLRUjYwUndW45qTRsK32M4HrP,0.34061642,311,606780
Poloniex.com,1,1KsbNiFZ3uQhtW5d4sHaVyjwtr3gcksU6N,0.33367576,267,668150
Poloniex.com,1,1McHgrUAZe81NehzqLgpdAUaNmfqhm6yWY,0.33212434,455,570100
Poloniex.com,1,13LCUqFTVZXATFnAUP33HRCsiwLX9vkpQa,0.32873538,320,597325
Poloniex.com,1,1JADGTGLJcATD3aAAQWJDaRmzpttP7nmY5,0.32861854,266,600146
Poloniex.com,1,1Gp525UgvYjdBKfi6pyPFTsmwsS9ypLaWj,0.32850887,384,667517
Poloniex.com,1,13i2Qbar1j5rHwpzimY772bB5X9LxVTgAN,0.32739801,9,668639
Poloniex.com,1,1JoCkK6EcSQwM6j7L2PTmxX8LYNWVHVT4B,0.32692238,347,578384
Poloniex.com,1,1Kr2kwTn6P6HkftTj1y3SoCnYoGFiABAUA,0.32583233,511,621019
Poloniex.com,1,1NeaYgtVCui8EDorcGJdjirHSbpwwqmMuQ,0.32577717,308,576232
Poloniex.com,1,18h4MjmM3mGz3Pxesum48Xh6QjRGCmL8fE,0.32230662,270,618173
Poloniex.com,1,1HLpqR6tTatGraMcxF4QTyUfsUzBF4ncGK,0.32029747,272,662076
Poloniex.com,1,1DSbNda3ETmw9FdbMsm7GDWcs854BSn3Zu,0.31970707,319,591216
Poloniex.com,2,1Nzkdc941siisiAFR6jHMXHkKvXu2R27FH,0.31964249,225,578284
Poloniex.com,2,1K8ZakJvCpgjwrDXxNv9t7yN3KpKkZsLKk,0.31699508,319,663940
Poloniex.com,2,15CtmXVZAK7fVKKvcExjAMxwWZzVykdrRY,0.31486531,260,667416
Poloniex.com,2,18hTYvm2KaFodvMC4666p8VBkWp8epc6z4,0.31241644,467,655705
Poloniex.com,2,18Hjc6bhxzS2bTYphPU5LN5dgJNM98Mfx4,0.31230223,279,598380
Poloniex.com,2,1GL1ckkzpt1vJGJpeBERQ81PsU97ZFTPK5,0.31167404,294,667258
Poloniex.com,2,19yLtNMLVxbzFfmap5vsTa2dXuF1TUcHp8,0.31164599,225,599135
Poloniex.com,2,14snS3SZRAWjpcp2HS9TtLSECy3jnx52jj,0.30777226,377,667843
Poloniex.com,2,1HY9ed3U1BJDTFWjbvpv95KEnD7X89kLQ8,0.30648267,256,667405
Poloniex.com,2,1C3zBxz6kuZEhqhdv8Q8tocrccUGjZ32CS,0.30602357,571,634680
Poloniex.com,2,1Eao29qx4HHadKDUb8PqxqtDfVYHmmynUw,0.30559482,331,574771
Poloniex.com,2,124uNXGMLN2Mbg5PcfpSd5hYRq4E8RQRQH,0.30493153,237,578885
Poloniex.com,2,1CS7dYFQFVutCWUy4FP4gStt8zyJfK1Fku,0.30447123,283,645084
Poloniex.com,2,1NuibSzgxVT15DNgN7yt1YCevQBu4pHSP3,0.30350973,486,631611
Poloniex.com,2,1GaBKaSipVJJCdBhPfR1u2zwKQr7SopF52,0.30183402,315,570827
Poloniex.com,2,1Djg65NdKWDhxcULzy6Tq9YXPzFAaDGfMr,0.29821273,285,590770
Poloniex.com,2,1GPFaThFsNUNMjvxUGWHK8faiqpnzrbLad,0.29748406,684,668350
Poloniex.com,2,15PmQavqCQpgYp4VRKY8q4yuSnxeeASr1A,0.2958036,658,430342
Poloniex.com,2,16HfPVSaQEJLLMYbmFJ35pTvvUaV5fGe8G,0.29222022,302,668592
Poloniex.com,2,1GHvzAqeeZDv6TQFpiZYHUHXomyED213V5,0.29205904,385,667405
Poloniex.com,2,1JwWPNjeGo6ocuSE9DGC9QNVNAdUTSsTdC,0.29195433,334,656234
Poloniex.com,2,16gTQfBG66A46rb1nVujNb1a7hUkw439uv,0.28986859,576,667284
Poloniex.com,2,15dZMSsq4aQyj6CyNGbyeUGCDaSQCy4SJL,0.28938107,673,667712
Poloniex.com,2,1CuJ7z8fprsYB4gmSm9pL38KYDK1dgF5AY,0.28820018,254,636969
Poloniex.com,2,1C1DgVfH6AarVzizbsRDcJJEc5MEUjjDTU,0.28695004,462,512340
Poloniex.com,2,1ED1aSWeiURW7eSoV4T7ThG4btANerbe7y,0.28527835,311,582764
Poloniex.com,2,1NUHAGLDPPh6bCSR1ivnC1oBye2Qf4pT6N,0.284685,746,664191
Poloniex.com,2,1G3MY1ZztmVvBeRRe4CD7KMDHCD3VGT3nJ,0.28448478,240,545238
Poloniex.com,2,1D6avGhXv8byaWtnG4jT9aV6yjws2Q7Sb5,0.28319509,375,649849
Poloniex.com,2,1EnbCWnHipvKm4LrnRMnrokv3RQ1WyKz6,0.28309067,530,631857
Poloniex.com,2,1NGUJyGhc5ANRJsk93eLFyQjdMY9t4HPNn,0.28213519,227,512509
Poloniex.com,2,1284K396KDFdrbzk2Bffs6L6AAoWygGRJr,0.27935599,439,668418
Poloniex.com,2,12W3FesnRtv25me8XKHu829VGHYUzNfBeg,0.27880918,208,585444
Poloniex.com,2,13JC5YAHZxaXk3DxefGDSBzWkJbYPZ6pbQ,0.27562094,233,590463
Poloniex.com,2,1Cxffq98uPkdEqwDHaT1d1pMDYjq8QTRmq,0.27530815,419,656252
Poloniex.com,2,1HKCbYu37WPxLGfh4KRuerB9mCXwQkNjsM,0.27353408,217,602683
Poloniex.com,2,1LP1o272QN6Tc3jD6NxTr4k1Shmokoava9,0.27150662,211,584999
Poloniex.com,2,1E7nYamMU5GUbuDXAy7L2RR6W1oe74ghXB,0.27068343,295,569528
Poloniex.com,2,1E4xYYVo5XKE1sK75WxHjYnXFs2qXHARyE,0.26983793,424,668582
Poloniex.com,2,1KuLoorqipWbqPgLXsPWKseJ7GwXNkjKr6,0.26966569,293,627229
